security_code,name,fullname,market,publisher,index_type,category,base_date,base_point,list_date,weight_rule,desc,exp_date
000001.SH,上证指数,上证综合指数,SSE,中证公司,中证综合指数,综合指数,19901219,100.0,19910715,其他,上证综合指数由在上海证券交易所上市的符合条件的股票与存托凭证组成样本，反映上海证券交易所上市公司的整体表现。,
000002.SH,上证A指,上证A股指数,SSE,中证公司,中证综合指数,综合指数,19901219,100.0,19920221,其他,上证A股指数的样本股是全部上海证券交易所上市A股，反映了上市A股的股价整体变动状况。,
000003.SH,上证B指,上证B股指数,SSE,中证公司,中证综合指数,综合指数,19920221,100.0,19920221,其他,上证B股指数的样本股是全部上海证券交易所上市B股，反映了上海证券交易所上市B股的股价整体变动状况。,
000004.SH,上证工业类指数,上证工业类指数,SSE,中证公司,中证综合指数,综合指数,19930430,1358.78,19930503,其他,上证行业分类指数将上海证券交易所上市公司按其所属行业分成五大类别。工业指数反映了工业行业的景气状况及其股价整体变动状况。,
000005.SH,上证商业类指数,上证商业类指数,SSE,中证公司,中证综合指数,综合指数,19930430,1358.78,19930503,其他,上证行业分类指数将上海证券交易所上市公司按其所属行业分成五大类别。商业指数反映了商业行业的景气状况及其股价整体变动状况。,
000006.SH,上证房地产指数,上证房地产指数,SSE,中证公司,中证综合指数,综合指数,19930430,1358.78,19930503,其他,上证行业分类指数将上海证券交易所上市公司按其所属行业分成五大类别。地产指数反映了地产行业的景气状况及其股价整体变动状况。,
000007.SH,上证公用事业股指数,上证公用事业股指数,SSE,中证公司,中证综合指数,综合指数,19930430,1358.78,19930503,其他,上证行业分类指数将上海证券交易所上市公司按其所属行业分成五大类别。公用指数反映了公用行业的景气状况及其股价整体变动状况。,
000008.SH,上证综合股指数,上证综合股指数,SSE,中证公司,中证综合指数,综合指数,19930430,1358.78,19930503,其他,上证行业分类指数将上海证券交易所上市公司按其所属行业分成五大类别。综合指数反映了综合行业的景气状况及其股价整体变动状况。,
000009.SH,上证380,上证380指数,SSE,中证公司,中证成份指数,规模指数,20031231,1000.0,20101129,其他,上证380指数由沪市A股中剔除上证180指数成份股后，规模适中、成长性好、盈利能力强的380只股票组成，综合反映沪市一批新兴蓝筹公司的股票价格表现。,
000010.SH,上证180,上证180指数,SSE,中证公司,中证成份指数,规模指数,20020628,3299.06,20020701,其他,上证180指数由沪市A股中规模大、流动性好的180只股票组成，反映上海证券市场一批蓝筹公司的股票价格表现。,
000011.SH,上证基金指数,上证基金指数,SSE,上交所,上证基金指数,其他,20000508,1000.0,20000609,其他,基金指数的成份股是所有在上海证券交易所上市的证券投资基金，反映了基金的价格整体变动状况。,
000012.SH,上证国债,上证国债指数,SSE,上交所,上证债券指数,债券指数,20021231,100.0,20030102,其他,该指数样本券由在上海证券交易所上市的固定利率国债构成，指数采用国债发行量加权计算。,
000013.SH,上证企债,上证企债指数,SSE,上交所,上证债券指数,债券指数,20021231,100.0,20030609,其他,指数样本券由上海证券交易所和深圳证券交易所上市、剩余期限 1年以上的投资级企业债构成，指数采用发行量加权计算。,
000015.SH,上证红利,上证红利指数,SSE,中证公司,中证主题指数,主题指数,20041231,1000.0,20050104,其他,上证红利指数挑选在上证所上市的现金股息率高、分红比较稳定、具有一定规模及流动性的50只股票作为样本，以反映上海证券市场高红利股票的整体状况和走势。,
000016.SH,上证50,上证50指数,SSE,中证公司,中证成份指数,规模指数,20031231,1000.0,20040102,其他,上证50指数由沪市A股中规模大、流动性好的最具代表性的50只股票组成，反映上海证券市场最具影响力的一批龙头公司的股票价格表现。,
000017.SH,新综指,新上证综指,SSE,中证公司,中证综合指数,综合指数,20051230,1000.0,20060104,其他,新上证综指当前由沪市所有实施股权分置改革的股票组成。,
000018.SH,180金融,上证180金融股指数,SSE,中证公司,中证行业指数,行业指数,20020628,1000.0,20071210,其他,上证180金融股指数从上证180指数中挑选银行、保险、证券和信托等行业的股票组成样本股，以反映上海证券市场的金融股走势，同时为投资者提供新的投资标的指数。,
000019.SH,治理指数,上证公司治理指数,SSE,中证公司,中证主题指数,主题指数,20070629,1000.0,20080102,其他,上证公司治理指数是以上证公司治理板块的股票作为样本股编制而成的指数。,
000020.SH,中型综指,上证中型企业综合指数,SSE,中证公司,中证综合指数,综合指数,20071228,1000.0,20080512,其他,上证中型综指由上海证券交易所上市A股股票中按照总股本、总资产与营业收入等指标划分为中型企业的全部股票组成，目标是全面反映在上海证券市场中型上市公司的整体表现。,
